sno,value,id,latitude,longitude,hasMenu,rating
140,312,McDonalds,33.31237395,-96.77996788,TRUE,6.4
141,470,Ernesto's,33.2362515,-96.78791761,TRUE,6.5
142,157,Subway,33.2192324,-96.77269891,TRUE,8.7
143,1,Church's Chicken,33.33991402,-96.77112487,TRUE,8.3
144,21,Escondido,33.32325565,-96.77713863,TRUE,8.6
145,14,Joes Pizza Pasta And Sub,33.323339,-96.777237,TRUE,8.5
146,95,Burger Fixin,33.32427207,-96.78325225,TRUE,7.8
147,0,Mogio's Gourmet Pizza,33.31308236,-96.78043127,TRUE,7.8
148,26,Old Weston Cafe,33.34707169,-96.66932233,TRUE,9
149,2,Taco Bell,33.311824,-96.780243,TRUE,7.7
150,5,Sweet P's Bakery & Coffee Shop,33.324733,-96.785491,TRUE,8.7
151,380,Pie 314 Everyday Eatery,33.035995,-96.897494,TRUE,7.9
152,1607,Escapé Coffee & Donuts,33.03474763,-96.8977546,TRUE,8.7
153,4138,Fuzzy's Taco Shop,33.022831,-96.884363,TRUE,7.5
154,460,Chilli Thai,33.01059628,-96.91021958,TRUE,8.2
155,191,Eggsellent Cafe,33.02062456,-96.91343748,TRUE,8.3
156,737,Italian Villa,33.02143685,-96.91754615,TRUE,7.7
157,563,Mom's Cafe,32.99938253,-96.90960156,TRUE,8.7
158,482,Wendy's,33.02430507,-96.88388784,TRUE,8.3
159,553,Joe's Pizza,33.00064464,-96.88710936,TRUE,7.2
160,947,Secret Recipe Asian Bistro,33.02078784,-96.928158,TRUE,7.6
161,4724,Texas Roadhouse,33.06325,-96.8967,TRUE,8.7
162,597,Subway,33.0213338,-96.9153398,TRUE,9.1
163,312,Zocados Mexican Resturant,33.02437214,-96.93741705,TRUE,8.9
164,834,Pho Bistro,32.998545,-96.909135,TRUE,8.2
165,440,Marshall's Bar-B-Q,33.01202384,-96.88805759,TRUE,7.4
166,6176,Rosa's Cafe Tortilla Factory,33.06464044,-96.8872508,TRUE,8.8
167,1168,Nico's Cocina,32.99832206,-96.88771178,TRUE,7.7
168,408,Jimmy John's,33.02514392,-96.88923094,TRUE,8.7
169,726,Los Jalapeno's,33.01037481,-96.88735033,TRUE,8.7
170,4096,Chick-fil-A The Colony,33.06702614,-96.89026989,TRUE,8.7
171,2001,Chick-fil-A Trinity Mills,32.98618,-96.90932,TRUE,7.1
172,1568,LA Burger,32.98467403,-96.90919876,TRUE,7.9
173,985,Emelia's Tex-Mex,33.0679352,-96.89065584,TRUE,7.7
174,1663,SONIC Drive In,33.02086268,-96.9288969,TRUE,8.6
175,208,Raising Cane's,33.07029499,-96.87518791,TRUE,9.5
176,381,Catfish House,32.998974,-96.90906563,TRUE,9
177,264,Panera Bread,33.07051889,-96.87675916,TRUE,9.2
178,727,In-N-Out Burger,33.07076342,-96.87603638,TRUE,9.4
179,904,Hard Eight BBQ,33.07143287,-96.87460132,TRUE,8.3
180,75,Wingstop,33.01823249,-96.91526119,TRUE,8.6
181,484,Elaine's Kitchen,32.76893404,-96.76944644,TRUE,9.3
182,124,Blackjack Pizza,32.76691683,-96.77067002,TRUE,8.5
183,1404,Off The Bone Barbeque,32.765841,-96.79229382,TRUE,9
184,11076,Cane Rosso,32.78258649,-96.78555351,TRUE,8.8
185,8880,Angry Dog,32.78305597,-96.78356082,TRUE,8.5
