sno,value,id,latitude,longitude,hasMenu,rating
132,897,Two Fat Cats Bakery,43.66051882,-70.25011524,TRUE,8.2
133,132,Far East Restaurant,44.5523593,-70.5355329,TRUE,8.1
134,316,Cafe Nomad,44.21378199,-70.54339932,TRUE,8.4
135,169,Market Square Restaurant,44.22330218,-70.51404592,TRUE,7.5
136,270,SUBWAY,44.55621175,-70.54015673,TRUE,6.9
137,255,DiCocoa's,44.40832643,-70.7884134,TRUE,8.4
138,217,Good Food Store,44.424923,-70.79779,TRUE,8.9
139,239,Dunkin' Donuts,44.54716818,-70.54550364,TRUE,6.7
140,67,Ari's Pizza and Subs,44.21401241,-70.54338793,TRUE,7.4
141,10,Dunkin' Donuts,44.53130341,-70.45654359,TRUE,6.4
142,262,Dunkin' Donuts,44.21494027,-70.52016735,TRUE,7.2
143,269,Calzolaio Pasta Co.,44.586491,-70.232034,TRUE,8
144,101,SUBWAY,44.1953321,-70.525891,TRUE,7.1
145,55,Maurice Restaurant,44.2182007,-70.51734852,TRUE,6.8
146,16,Pizza Hut,44.55629143,-70.54036923,TRUE,6.4
147,124,Pizza Hut,44.19717301,-70.52602539,TRUE,7
148,116,Smokin' Good BBQ,44.424672,-70.79778135,TRUE,7.2
149,104,Applebee's,44.19529919,-70.52493746,TRUE,6.9
150,100,Smilin' Moose Tavern,44.22350822,-70.51306665,TRUE,6.5
151,50,SUBWAY,44.506019,-70.21513005,TRUE,6.6
152,179,Pat's Pizza,44.41302001,-70.79549611,TRUE,6.9
153,376,Cho Sun,44.4091282,-70.7880723,TRUE,6.9
154,228,Black Diamond Steak House,44.45337965,-70.81326815,TRUE,7.1
155,205,Camp at Grand Summit Hotel,44.46736467,-70.84695224,TRUE,7.5
156,304,Crossroads Diner,44.41205978,-70.79570343,TRUE,6.8
157,100,SUBWAY,44.4249472,-70.79715856,TRUE,6.8
158,90,The Lost Gull,44.13473579,-70.46473415,TRUE,7.3
159,184,Dunkin Donuts,44.47693954,-70.19323214,TRUE,6.5
160,127,Tabers Restaurant & Driving Range,44.16073096,-70.25433344,TRUE,7.6
161,289,Rooster's Roadhouse,44.4212132,-70.7968291,TRUE,6.7
162,37,Little Red Hen Diner,44.63487001,-70.75052869,TRUE,7.8
