id,checkins,name,latitude,longitude,hasMenu,rating
184,450,The NATY,30.34921665,-97.71551476,TRUE,7.4
185,2192,Conans Pizza North,30.35756857,-97.73110665,TRUE,8.9
186,4140,Bartlett's,30.3568187,-97.73139306,TRUE,8.8
187,83,DeSano Pizzeria Napoletana,30.358631,-97.730691,TRUE,8.7
188,586,East Side Pies #3,30.353353,-97.72554,TRUE,7.9
189,15157,Hopdoddy Burger Bar,30.357627,-97.73296836,TRUE,9.1
190,4567,Top Notch,30.351149,-97.73353181,TRUE,8.8
191,1448,Thundercloud Subs,30.35765358,-97.730911,TRUE,8.5
192,747,Shipley Do-Nuts,30.35489738,-97.728713,TRUE,8.1
193,1286,Tous les Jours,30.33615328,-97.72049424,TRUE,8.8
194,2096,Tacodeli,30.3486475,-97.73508472,TRUE,9.2
195,2099,Hanabi,30.35480515,-97.73295879,TRUE,8.5
196,88,NG BÁNH MÌ TH<U+1ECA>T,30.36144111,-97.71552536,TRUE,7.7
197,1075,Taco More,30.36802629,-97.70643699,TRUE,8.9
198,2322,VertsKebap,30.35796428,-97.7329302,TRUE,8.6
199,1160,El Nuevo Mexico,30.348055,-97.714593,TRUE,7.3
200,565,Misung 888,30.348246,-97.71494194,TRUE,7.3
201,556,Taqueria Los Jalicienses,30.33596838,-97.71755219,TRUE,8.4
202,109,The Factory Cafe,30.354726,-97.732943,TRUE,8.3
203,1191,Teji's Indian Restaurant,30.28405738,-97.74203002,TRUE,8.3
204,7852,Clay Pit Contemporary Indian Cuisine,30.27891299,-97.74255881,TRUE,8.9
205,699,Chick-fil-A,30.28479061,-97.73710225,TRUE,7.4
206,279,Chick-fil-A,30.28610258,-97.74126445,TRUE,7.7
207,2136,Chick-fil-A Martin Luther King Drive-Thru Only,30.281719,-97.743155,TRUE,8.1
208,2454,Austin's Pizza,30.28691132,-97.74178962,TRUE,7.8
209,2434,Raising Cane's Chicken Fingers,30.28163368,-97.74241028,TRUE,8
210,6793,Texas Chili Parlor,30.2769953,-97.742055,TRUE,8.9
211,1387,The Carillon,30.2819899,-97.73998072,TRUE,7.7
212,782,Sushi Junai,30.2790053,-97.74159865,TRUE,8.1
213,442,West Campus Food Trucks,30.28615802,-97.74219808,TRUE,7.7
214,1436,Aster's Ethiopian Restaurant,30.287304,-97.72503055,TRUE,8.3
215,396,Snarf's Sandwiches,30.28837545,-97.72864376,TRUE,7.7
216,537,Chi'lantro Korean + Mexican Fusion,30.28794946,-97.74438369,TRUE,8
217,5973,Salty Sow,30.28381845,-97.72131623,TRUE,9.4
218,2170,Potbelly Sandwich Shop,30.286865,-97.74179468,TRUE,7.6
219,749,Daichi Sushi & Grill,30.476309,-97.840994,TRUE,8.2
220,152,Local slice,30.47891997,-97.83294699,TRUE,8.6
221,8824,Torchy's Tacos,30.452982,-97.82777,TRUE,9.2
222,994,Dunkin Donuts/Baskin Robbins,30.48070271,-97.82977604,TRUE,8.3
223,4792,Noble Sandwich Co.,30.46155058,-97.81525096,TRUE,9.3
224,153,Almarah Mediterranean Cuisine,30.46129988,-97.81702992,TRUE,8.9
225,815,Umiya,30.47873075,-97.83295231,TRUE,8
226,223,MOD Pizza,30.45279029,-97.82659461,TRUE,8.5
227,950,VertsKebap,30.45300645,-97.82757957,TRUE,8.3
228,1148,Saccones Pizza and Subs,30.45354651,-97.82849601,TRUE,8.1
229,1059,Firehouse Subs,30.47912114,-97.83261437,TRUE,7.7
230,962,Nagoya Steak and Sushi,30.457376,-97.82416747,TRUE,7.9
231,2083,Taqueria Guadalajara,30.46237896,-97.81562799,TRUE,8.1
232,1332,Freda's Seafood Grille,30.46398907,-97.80385494,TRUE,8.9
233,1204,Smokey Mo's BBQ,30.47923803,-97.83311165,TRUE,7.6
234,1329,Soto Japanese Cuisine,30.47001693,-97.80102616,TRUE,8.8
235,968,Stuffed Cajun Meat Market,30.462454,-97.815841,TRUE,7.9
236,343,Blaze Pizza,30.47565495,-97.79894498,TRUE,8.9
237,11129,Pluckers Wing Bar,30.4684038,-97.803631,TRUE,8.3
238,3594,Chipotle Mexican Grill,30.47834044,-97.80055046,TRUE,8.5
239,588,SUBWAY,30.481561,-97.834029,TRUE,7.4
240,1095,Thundercloud Subs,30.46145656,-97.79564814,TRUE,8.7
241,301,Jenna's  Asian Kitchen,30.46312182,-97.81482083,TRUE,7.7
242,3739,Chick-fil-A FM 620 North & Hwy 183,30.46936346,-97.79132888,TRUE,8.9
243,1894,Maggiore's,30.48189097,-97.83050537,TRUE,7.3
244,1761,Jardin Corona,30.50431918,-97.81825304,TRUE,8.4
245,875,Foxhole Culinary Tavern,30.47445187,-97.79830259,TRUE,8.2
246,649,Jersey Mike's Subs,30.45290448,-97.82647245,TRUE,7.4
247,433,Nathalie's Donuts,30.481219,-97.834184,TRUE,7.2
248,293,Papa Murphy's,30.46167602,-97.81626523,TRUE,7.5
249,2486,Southside Market & BBQ,30.34994098,-97.38591208,TRUE,8.2
250,385,Morelia's Mexican Grill,30.33758367,-97.36972332,TRUE,7.8
